dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.000000,53.300000,0.000478,0.047840,2.391980,119.598987,0.000001
0.020000,15.001347,53.300000,0.002392,0.143519,4.783959,119.598987,6.283183
0.020000,15.005653,53.300000,0.006698,0.287038,7.175939,119.598987,6.283174
0.020000,15.013307,53.300000,0.014352,0.478396,9.567919,119.598987,6.283158
0.020000,15.025267,53.299999,0.026312,0.717594,11.959899,119.598987,6.283134
0.020000,15.042489,53.299998,0.043534,1.004631,14.351878,119.598987,6.283100
0.020000,15.065931,53.299996,0.066975,1.339509,16.743858,119.598987,6.283052
0.020000,15.096548,53.299991,0.097593,1.722225,19.135838,119.598987,6.282991
0.020000,15.135298,53.299982,0.136343,2.152782,21.527818,119.598987,6.282914
0.020000,15.183138,53.299966,0.184182,2.631178,23.919797,119.598987,6.282819
0.020000,15.241024,53.299942,0.242068,3.157413,26.311777,119.598987,6.282704
0.020000,15.309913,53.299904,0.310957,3.731488,28.703757,119.598987,6.282570
0.020000,15.390761,53.299848,0.391806,4.353403,31.095737,119.598987,6.282413
0.020000,15.484527,53.299767,0.485572,5.023157,33.487716,119.598987,6.282233
0.020000,15.592166,53.299653,0.593211,5.740751,35.879696,119.598987,6.282029
0.020000,15.714635,53.299498,0.715680,6.506185,38.271676,119.598987,6.281800
0.020000,15.852892,53.299289,0.853937,7.319458,40.663655,119.598987,6.281546
0.020000,16.007892,53.299013,1.008937,8.180571,43.055635,119.598987,6.281266
0.020000,16.180592,53.298655,1.181638,9.089523,45.447615,119.598987,6.280962
0.020000,16.371950,53.298198,1.372996,10.046315,47.839595,119.598987,6.280632
0.020000,16.582922,53.297622,1.583969,11.050946,50.231574,119.598987,6.280279
0.020000,16.814464,53.296905,1.815513,12.103417,52.623554,119.598987,6.279904
0.020000,17.067534,53.296024,2.068584,13.203728,55.015534,119.598987,6.279508
0.020000,17.343088,53.294954,2.344140,14.351878,57.407514,119.598987,6.279094
0.020000,17.642083,53.293666,2.643138,15.547868,59.799493,119.598987,6.278665
0.020000,17.965475,53.292132,2.966533,16.791698,62.191473,119.598987,6.278225
0.020000,18.314221,53.290323,3.315284,18.083367,64.583453,119.598987,6.277777
0.020000,18.689277,53.288210,3.690346,19.422875,66.975433,119.598987,6.277328
0.020000,19.091123,53.285765,4.092199,20.762384,66.975433,0.000000,6.276883
0.020000,19.519756,53.282969,4.520842,22.101893,66.975433,0.000000,6.276450
0.020000,19.975178,53.279806,4.976275,23.441401,66.975433,-0.000000,6.276036
0.020000,20.457388,53.276263,5.458498,24.780910,66.975433,0.000000,6.275651
0.020000,20.966386,53.272337,5.967511,26.120419,66.975433,0.000000,6.275302
0.020000,21.502173,53.268029,6.503315,27.459927,66.975433,-0.000000,6.275000
0.020000,22.064747,53.263352,7.065908,28.799436,66.975433,0.000000,6.274755
0.020000,22.654109,53.258327,7.655292,30.138945,66.975433,0.000000,6.274576
0.020000,23.270260,53.252987,8.271466,31.478453,66.975433,-0.000000,6.274475
0.020000,23.913200,53.247378,8.914430,32.817962,66.975433,0.000000,6.274464
0.020000,24.582929,53.241560,9.584184,34.157471,66.975433,0.000000,6.274553
0.020000,25.279448,53.235612,10.280729,35.496979,66.975433,-0.000000,6.274755
0.020000,26.002758,53.229626,11.004064,36.836488,66.975433,0.000000,6.275084
0.020000,26.752859,53.223717,11.754188,38.175997,66.975433,-0.000000,6.275554
0.020000,27.529753,53.218021,12.531103,39.515505,66.975433,0.000000,6.276177
0.020000,28.333441,53.212697,13.334809,40.855014,66.975433,-0.000000,6.276970
0.020000,29.163923,53.207930,14.165304,42.194523,66.975433,0.000000,6.277947
0.020000,30.021199,53.203932,15.022590,43.534031,66.975433,-0.000000,6.279125
0.020000,30.905269,53.200945,15.906665,44.873540,66.975433,0.000000,6.280521
0.020000,31.816134,53.199246,16.817531,46.213048,66.975433,-0.000000,6.282151
0.020000,32.753789,53.199144,17.755187,47.552557,66.975433,0.000000,0.000851
0.020000,33.718234,53.200987,18.719633,48.892066,66.975433,-0.000000,0.003008
0.020000,34.708983,53.205161,19.710391,50.183735,64.583453,-119.598987,0.005458
0.020000,35.725072,53.212089,20.726504,51.427564,62.191473,-119.598987,0.008219
0.020000,36.765533,53.222224,21.767016,52.623554,59.799493,-119.598987,0.011308
0.020000,37.829395,53.236057,22.830968,53.771704,57.407514,-119.598987,0.014743
0.020000,38.915682,53.254112,23.917405,54.872015,55.015534,-119.598987,0.018545
0.020000,40.023411,53.276946,25.025370,55.924486,52.623554,-119.598987,0.022729
0.020000,41.151593,53.305151,26.153906,56.929118,50.231574,-119.598987,0.027316
0.020000,42.299233,53.339350,27.302057,57.885910,47.839595,-119.598987,0.032323
0.020000,43.465324,53.380198,28.468864,58.794862,45.447615,-119.598987,0.037768
0.020000,44.648850,53.428379,29.653373,59.655975,43.055635,-119.598987,0.043670
0.020000,45.848784,53.484607,30.854625,60.469248,40.663655,-119.598987,0.050046
0.020000,47.064083,53.549622,32.071664,61.234681,38.271676,-119.598987,0.056915
0.020000,48.293691,53.624189,33.303534,61.952275,35.879696,-119.598987,0.064293
0.020000,49.536534,53.709093,34.549277,62.622029,33.487716,-119.598987,0.072198
0.020000,50.791520,53.805140,35.807937,63.243944,31.095737,-119.598987,0.080647
0.020000,52.057536,53.913152,37.078556,63.818019,28.703757,-119.598987,0.089654
0.020000,53.333447,54.033961,38.360179,64.344255,26.311777,-119.598987,0.099236
0.020000,54.618094,54.168408,39.651848,64.822651,23.919797,-119.598987,0.109406
0.020000,55.910293,54.317338,40.952607,65.253207,21.527818,-119.598987,0.120177
0.020000,57.208830,54.481592,42.261498,65.635924,19.135838,-119.598987,0.131561
0.020000,58.512465,54.662003,43.577565,65.970801,16.743858,-119.598987,0.143568
0.020000,59.819926,54.859391,44.899852,66.257839,14.351878,-119.598987,0.156206
0.020000,61.129913,55.074553,46.227400,66.497037,11.959899,-119.598987,0.169480
0.020000,62.441092,55.308256,47.559255,66.688395,9.567919,-119.598987,0.183393
0.020000,63.752099,55.561231,48.894458,66.831914,7.175939,-119.598987,0.197947
0.020000,65.061540,55.834162,50.232053,66.927593,4.783959,-119.598987,0.213137
0.020000,66.367991,56.127677,51.571083,66.975433,2.391980,-119.598987,0.228958
0.020000,67.669958,56.442327,52.910547,66.970956,-0.223817,-130.789835,0.245397
0.020000,68.965924,56.778586,54.249443,66.918640,-2.615797,-119.598987,0.262440
0.020000,70.254396,57.136853,55.586814,66.818485,-5.007776,-119.598987,0.280068
0.020000,71.533867,57.517427,56.921704,66.670490,-7.399756,-119.598987,0.298255
0.020000,72.802819,57.920505,58.253155,66.474655,-9.791736,-119.598987,0.316974
0.020000,74.059733,58.346170,59.580212,66.230981,-12.183716,-119.598987,0.336189
0.020000,75.303097,58.794379,60.901916,65.939467,-14.575695,-119.598987,0.355861
0.020000,76.531413,59.264962,62.217312,65.600113,-16.967675,-119.598987,0.375948
0.020000,77.743207,59.757610,63.525442,65.212920,-19.359655,-119.598987,0.396400
0.020000,78.937037,60.271875,64.825350,64.777887,-21.751635,-119.598987,0.417165
0.020000,80.111509,60.807166,66.116079,64.295015,-24.143614,-119.598987,0.438186
0.020000,81.265280,61.362746,67.396673,63.764303,-26.535594,-119.598987,0.459404
0.020000,82.397073,61.937737,68.666173,63.185752,-28.927574,-119.598987,0.480757
0.020000,83.505684,62.531121,69.923624,62.559361,-31.319554,-119.598987,0.502181
0.020000,84.589992,63.141744,71.168069,61.885130,-33.711533,-119.598987,0.523613
0.020000,85.648964,63.768328,72.398551,61.163060,-36.103513,-119.598987,0.544988
0.020000,86.681663,64.409474,73.614113,60.393150,-38.495493,-119.598987,0.566243
0.020000,87.687253,65.063676,74.813799,59.575400,-40.887472,-119.598987,0.587315
0.020000,88.665000,65.729333,75.996651,58.709811,-43.279452,-119.598987,0.608147
0.020000,89.614275,66.404758,77.161713,57.796383,-45.671432,-119.598987,0.628681
0.020000,90.534551,67.088194,78.308028,56.835115,-48.063412,-119.598987,0.648864
0.020000,91.425405,67.777826,79.434639,55.826007,-50.455391,-119.598987,0.668650
