dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,114.038372,123.745954,0.006429,0.642875,32.143735,1607.186743,4.188764
0.020000,114.026287,123.725027,0.030594,1.208266,28.269562,-193.708644,4.188629
0.020000,114.002110,123.683180,0.078923,2.416467,60.410050,1607.024410,4.188360
0.020000,113.965825,123.620424,0.151414,3.624538,60.403541,-0.325448,4.187955
0.020000,113.917408,123.536777,0.248062,4.832413,60.393773,-0.488409,4.187415
0.020000,113.856829,123.432265,0.368863,6.040028,60.380735,-0.651905,4.186739
0.020000,113.784047,123.306916,0.513809,7.247316,60.364396,-0.816949,4.185926
0.020000,113.699017,123.160768,0.682894,8.454211,60.344751,-0.982252,4.184977
0.020000,113.601682,122.993863,0.876106,9.660646,60.321771,-1.149004,4.183889
0.020000,113.491981,122.806251,1.093438,10.866555,60.295423,-1.317388,4.182663
0.020000,113.369841,122.597987,1.334875,12.071868,60.265684,-1.486961,4.181296
0.020000,113.235184,122.369134,1.600405,13.276519,60.232508,-1.658805,4.179789
0.020000,113.087922,122.119760,1.890014,14.480436,60.195863,-1.832240,4.178139
0.020000,112.927960,121.849942,2.203685,15.683550,60.155703,-2.007979,4.176346
0.020000,112.755195,121.559762,2.541401,16.885790,60.111983,-2.186021,4.174408
0.020000,112.569514,121.249312,2.903142,18.087083,60.064652,-2.366543,4.172322
0.020000,112.370796,120.918688,3.288890,19.287356,60.013658,-2.549719,4.170088
0.020000,112.158913,120.567997,3.698620,20.486535,59.958943,-2.735717,4.167703
0.020000,111.933726,120.197350,4.132311,21.684544,59.900451,-2.924610,4.165166
0.020000,111.695090,119.806870,4.589937,22.881306,59.838124,-3.116344,4.162474
0.020000,111.442848,119.396687,5.071472,24.076744,59.771897,-3.311355,4.159625
0.020000,111.176838,118.966939,5.576888,25.270778,59.701700,-3.509849,4.156616
0.020000,110.896885,118.517774,6.106154,26.463328,59.627483,-3.710870,4.153445
0.020000,110.602808,118.049348,6.659240,27.654311,59.549164,-3.915953,4.150110
0.020000,110.294415,117.561828,7.236113,28.843645,59.466689,-4.123757,4.146607
0.020000,109.971504,117.055390,7.836738,30.031245,59.379991,-4.334880,4.142933
0.020000,109.633866,116.530222,8.461079,31.217025,59.289003,-4.549388,4.139085
