dt,x,y,position,velocity,acceleration,jerk,heading
0.02,15.097137,280.500018,0.102375,10.2375,511.875,25593.75,-0.000366
0.02,15.489964,280.500448,0.495202,19.641374,470.193714,-2084.064318,-0.001816
0.02,16.277296,280.502975,1.282538,39.366769,986.269733,25803.80097,-0.00457
0.02,17.462438,280.510668,2.467706,59.258383,994.580689,415.547788,-0.008338
0.02,18.950762,280.526218,3.95611,74.420242,758.092957,-11824.38658,-0.012444
0.02,20.546626,280.549093,5.552138,79.801384,269.057084,-24451.79366,-0.016093
0.02,22.150966,280.577346,7.156727,80.229442,21.402941,-12382.70713,-0.018999
0.02,23.763702,280.609839,8.76979,80.653158,21.18576,-10.859074,-0.021167
0.02,25.384783,280.645422,10.391262,81.07361,21.02264,-8.155981,-0.022604
0.02,27.014189,280.682937,12.0211,81.491891,20.914017,-5.431152,-0.023314
0.02,28.651924,280.721212,13.659282,81.909094,20.860153,-2.693197,-0.023298
0.02,30.298016,280.759059,15.305808,82.326317,20.861171,0.050875,-0.022557
0.02,31.952512,280.795268,16.960701,82.744659,20.917065,2.794718,-0.021088
0.02,33.615482,280.828612,18.624006,83.165213,21.027705,5.531967,-0.018887
0.02,35.287009,280.857831,20.295787,83.589069,21.192816,8.255553,-0.01595
0.02,36.967186,280.88164,21.976133,84.017308,21.411952,10.956816,-0.012267
0.02,38.65612,280.898716,23.665153,84.450997,21.684449,13.624852,-0.007831
0.02,40.35392,280.9077,25.362977,84.891184,22.009361,16.245606,-0.002628
0.02,42.060697,280.90719,27.069755,85.338892,22.385377,18.80078,0.003352307
0.02,43.776561,280.895734,28.785657,85.795106,22.810721,21.267212,0.010127307
0.02,45.501611,280.871834,30.510872,86.260767,23.283027,23.615297,0.017711307
0.02,47.235932,280.83393,32.245607,86.73675,23.799193,25.808301,0.026123307
0.02,48.979588,280.780408,33.990084,87.223855,24.355205,27.800611,0.035382307
0.02,50.732613,280.709586,35.74454,87.722773,24.945937,29.536604,0.045510307
0.02,52.495005,280.619717,37.509221,88.234072,25.564938,30.95006,0.056526307
0.02,54.266711,280.508983,39.284384,88.758155,26.204165,31.961321,0.068454307
0.02,56.04762,280.375498,41.070289,89.29523,26.853736,32.478574,0.081317307
0.02,57.837548,280.217301,42.867194,89.845263,27.501643,32.395349,0.095136307
0.02,59.636223,280.03236,44.675353,90.407933,28.133481,31.591884,0.109934307
0.02,61.443273,279.818578,46.495004,90.982577,28.732201,29.935986,0.125731307
0.02,63.258203,279.573796,48.326367,91.568135,29.277896,27.284747,0.142547307
0.02,65.080381,279.295799,50.169629,92.163088,29.747694,23.489921,0.160398307
0.02,66.909016,278.982333,52.024937,92.765403,30.115752,18.402898,0.179297307
0.02,68.743142,278.631121,53.892386,93.372472,30.353432,11.88402,0.199252307
0.02,70.581595,278.23988,55.772008,93.981066,30.429712,3.813972,0.220265307
0.02,72.422995,277.806351,57.663754,94.587304,30.311862,-5.892486,0.242333307
0.02,74.265735,277.328326,59.567486,95.186633,29.966473,-17.269468,0.265444307
0.02,76.107964,276.80369,61.482963,95.773849,29.360822,-30.282538,0.289577307
0.02,77.947584,276.230454,63.409826,96.343142,28.464611,-44.810532,0.314700307
0.02,79.782248,275.606808,65.34759,96.888182,27.25201,-60.630072,0.340771307
0.02,81.609372,274.931159,67.295635,97.40226,25.703919,-77.404566,0.367736307
0.02,83.426148,274.202188,69.253204,97.878466,23.81028,-94.681922,0.395531307
0.02,85.229582,273.418886,71.219403,98.30991,21.572224,-111.902819,0.424075307
0.02,87.016526,272.580603,73.193202,98.689986,19.003784,-128.421977,0.453281307
0.02,88.78373,271.687076,75.173455,99.012644,16.13292,-143.54323,0.483049307
0.02,90.527905,270.738456,77.158909,99.272676,13.001574,-156.567264,0.513269307
0.02,92.245782,269.735316,79.148228,99.465969,9.664666,-166.845432,0.543825307
0.02,93.934185,268.678651,81.140023,99.589728,6.187917,-173.837442,0.574597307
0.02,95.590098,267.569862,83.132875,99.642621,2.644666,-177.162564,0.605460307
0.02,97.210725,266.410719,85.125372,99.62486,-0.88806,-176.636275,0.636293307
0.02,98.793552,265.203325,87.116136,99.538183,-4.333841,-172.289069,0.666975307
0.02,100.336384,263.950058,89.103851,99.38576,-7.621122,-164.364022,0.697392307
0.02,101.837387,262.653513,91.087292,99.172022,-10.686911,-153.289457,0.727436307
0.02,103.295095,261.316441,93.06534,98.902429,-13.479662,-139.637544,0.757012307
0.02,104.708426,259.941685,95.037004,98.583207,-15.961092,-124.071517,0.786032307
0.02,106.076666,258.53212,97.001426,98.221071,-18.106814,-107.286109,0.814423307
0.02,107.399454,257.090606,98.957885,97.822951,-19.906012,-89.959889,0.842120307
0.02,108.676754,255.619934,100.9058,97.395748,-21.360133,-72.706056,0.869074307
0.02,109.908825,254.122796,102.844722,96.946126,-22.481093,-56.047994,0.895246307
0.02,111.09618,252.601753,104.774329,96.480345,-23.289037,-40.397206,0.920608307
0.02,112.23955,251.059215,106.694412,96.004143,-23.810101,-26.053183,0.945141307
0.02,113.339846,249.497428,108.604865,95.522659,-24.074218,-13.205849,0.968836307
0.02,114.398126,247.918468,110.505673,95.040396,-24.113167,-1.947478,0.991693307
0.02,115.359233,246.414536,112.29048,89.240354,-290.002063,-13294.44479,1.012496307
0.02,116.115637,245.180997,113.737466,72.349296,-844.552931,-27727.54337,1.028891307
0.02,116.618763,244.334823,114.721918,49.222601,-1156.334734,-15589.09018,1.039806307
0.02,116.877847,243.89078,115.236018,25.704977,-1175.881184,-977.322469,1.045429307
0.02,116.953588,243.759879,115.387251,7.561689,-907.164436,13435.83736,1.047073307
0.02,116.959292,243.75,115.398659,0.570396,-349.564655,27879.98905,1.047197307
0.02,116.959292,243.75,115.398659,0,-28.519779,16052.24382,1.047197307
