dt,x,y,position,velocity,acceleration,jerk,heading
0.02,15.105564,257.500019,0.102375,10.2375,511.875,25593.75,-0.000366
0.02,15.531736,257.500486,0.528547,21.308622,553.556107,2084.055325,-0.001816
0.02,16.382396,257.503215,1.379212,42.533205,1061.229154,25383.65237,-0.00457
0.02,17.6542,257.511467,2.651042,63.591545,1052.91697,-415.609209,-0.008338
0.02,19.236957,257.527999,4.233885,79.14215,777.530282,-13769.33437,-0.012444
0.02,20.916755,257.552071,5.913856,83.998526,242.818763,-26735.57596,-0.016093
0.02,22.587906,257.581497,7.585266,83.5705,-21.401276,-13211.00198,-0.018999
0.02,24.250504,257.614991,9.248202,83.14681,-21.184484,10.839624,-0.021167
0.02,25.904634,257.651298,10.90273,82.726375,-21.021741,8.137149,-0.022604
0.02,27.55036,257.689188,12.548892,82.308106,-20.913484,5.412833,-0.023314
0.02,29.187731,257.727454,14.18671,81.890906,-20.859982,2.675136,-0.023298
0.02,30.816774,257.76491,15.816183,81.473679,-20.861358,-0.06884,-0.022557
0.02,32.437492,257.800382,17.43729,81.055327,-20.917614,-2.812775,-0.021088
0.02,34.049863,257.832714,19.049985,80.634754,-21.028621,-5.550331,-0.018887
0.02,35.653835,257.860756,20.654203,80.210872,-21.194108,-8.274374,-0.01595
0.02,37.249327,257.88337,22.249855,79.782599,-21.413634,-10.976325,-0.012267
0.02,38.836223,257.899421,23.836832,79.348869,-21.686539,-13.645235,-0.007831
0.02,40.414374,257.90778,25.415005,78.908631,-22.011879,-16.266976,-0.002628
0.02,41.983591,257.907319,26.984222,78.460864,-22.388348,-18.823469,0.003352307
0.02,43.543648,257.896914,28.544313,78.004581,-22.814174,-21.291304,0.010127307
0.02,45.094276,257.875441,30.09509,77.538841,-23.286996,-23.641093,0.017711307
0.02,46.635164,257.841778,31.636346,77.062766,-23.803712,-25.835818,0.026123307
0.02,48.165954,257.794804,33.167857,76.57556,-24.360313,-27.830019,0.035382307
0.02,49.686245,257.7334,34.689387,76.076527,-24.95168,-29.568347,0.045510307
0.02,51.195587,257.656452,36.200689,75.5651,-25.571354,-30.98369,0.056526307
0.02,52.693483,257.562852,37.701507,75.040873,-26.211303,-31.997477,0.068454307
0.02,54.179389,257.4515,39.19158,74.503641,-26.861639,-32.51682,0.081317307
0.02,55.652717,257.321307,40.670648,73.953434,-27.510354,-32.435749,0.095136307
0.02,57.112833,257.171203,42.13846,73.390573,-28.14304,-31.634289,0.109934307
0.02,58.559065,257.000135,43.594774,72.81572,-28.742636,-29.97978,0.125731307
0.02,59.990706,256.807077,45.039373,72.229935,-29.289232,-27.329819,0.142547307
0.02,61.407017,256.591033,46.472068,71.634737,-29.759939,-23.535318,0.160398307
0.02,62.807242,256.35104,47.892711,71.032159,-30.128893,-18.447721,0.179297307
0.02,64.190611,256.086178,49.301207,70.42481,-30.367436,-11.927162,0.199252307
0.02,65.556354,255.795572,50.697525,69.81592,-30.444514,-3.853899,0.220265307
0.02,66.903713,255.478397,52.081713,69.209372,-30.327369,5.857269,0.242333307
0.02,68.231954,255.133879,53.453907,68.609721,-29.98255,17.24094,0.265444307
0.02,69.540385,254.761301,54.814351,68.022176,-29.377295,30.262755,0.289577307
